text,intent
I have cold sweat,symptom_inquiry
I have lightheadedness,symptom_inquiry
I have pain in my arms,symptom_inquiry
I have jaw pain,symptom_inquiry
I have chills,symptom_inquiry
I have rapid breathing,symptom_inquiry
I have extreme pain,symptom_inquiry
I have sweaty skin,symptom_inquiry
I have stiff neck,symptom_inquiry
I have seizures,symptom_inquiry
I have constipation,symptom_inquiry
I have excessive thirst,symptom_inquiry
I have fruity breath,symptom_inquiry
I have sudden shortness of breath,symptom_inquiry
I have leg swelling,symptom_inquiry
I have sudden severe chest pain,symptom_inquiry
I have back pain,symptom_inquiry
I have paralysis,symptom_inquiry
What medication should I take for diabetes,medication_inquiry
Are there side effects to this medicine,medication_inquiry
How often should I take this pill,medication_inquiry
What's the dosage for this medication,medication_inquiry
Can I take this with other medicines,medication_inquiry
What medicine for my anxiety,medication_inquiry
Can I take over-the-counter medicine with my prescription,medication_inquiry
What are the side effects of aspirin,medication_inquiry
How should I take metformin,medication_inquiry
What are the interactions with lisinopril,medication_inquiry
Can I drink alcohol with atorvastatin,medication_inquiry
What's the proper dosage for ibuprofen,medication_inquiry
Are there any drug interactions,medication_inquiry
What medicine for my headache,medication_inquiry
How often can I take pain medication,medication_inquiry
I think I'm having a heart attack,emergency_guidance
This is an emergency,emergency_guidance
I need immediate help,emergency_guidance
Someone is bleeding severely,emergency_guidance
I'm having trouble breathing,emergency_guidance
Urgent medical attention needed,emergency_guidance
Critical situation,emergency_guidance
Emergency help needed,emergency_guidance
I'm experiencing severe chest pain,emergency_guidance
I think I'm having a stroke,emergency_guidance
I need urgent care,emergency_guidance
I have severe head injury,emergency_guidance
I'm experiencing severe abdominal pain,emergency_guidance
I have difficulty breathing and chest tightness,emergency_guidance
I'm experiencing severe dizziness and confusion,emergency_guidance
I have severe burns and need urgent care,emergency_guidance
I have sudden numbness and confusion,emergency_guidance
I'm having a severe allergic reaction,emergency_guidance
I have severe bleeding that won't stop,emergency_guidance
I'm experiencing symptoms of sepsis,emergency_guidance
I think I have meningitis,emergency_guidance
I have severe appendicitis symptoms,emergency_guidance
I'm experiencing diabetic ketoacidosis,emergency_guidance
I think I have a pulmonary embolism,emergency_guidance
I'm experiencing aortic dissection symptoms,emergency_guidance
I have severe chest pain and shortness of breath,emergency_guidance
I'm having a stroke,emergency_guidance
I need emergency medical attention,emergency_guidance
This is a life-threatening situation,emergency_guidance
I have severe symptoms that need immediate attention,emergency_guidance
